LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,SyntacticFrame,subject,directObject,sense,reference,domain,range,GrammarRule 1:question1,GrammarRule 1:question2,GrammarRule 1:sparql,GrammarRule 2:question1,GrammarRule2: sparql
compose,verb,compose,composes,composed,TransitiveFrame,range,domain,1,dbo:musicComposer,dbo:Work,dbo:Person,"Which dbo:Person (X) composes,composed Y(dbo:Work)?","Who dbo:Person (X) composes,composed Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:musicComposer ?X.},Which dbo:Work(X) was composed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
develop,verb,develop,develops,developed,TransitiveFrame,range,domain,1,dbo:developer,dbo:Work,dbo:Agent,"Which dbo:Agent (X) develops,developed Y(dbo:Work)?","Who dbo:Agent (X) develops,developed Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:developer ?X.},Which dbo:Work(X) was developed by Y(dbo:Agent)?,SELECT ?X WHERE { ?X dbo:Agent Y.}
play,verb,play,playes,played,TransitiveFrame,range,domain,1,dbo:portrayer,dbo:FictionalCharacter,dbo:Person,"Which dbo:Person (X) playes,played Y(dbo:FictionalCharacter)?","Who dbo:Person (X) playes,played Y(dbo:FictionalCharacter)?",SELECT ?X WHERE { Y dbo:portrayer ?X.},Which dbo:FictionalCharacter(X) was played by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,play,plays,played,TransitiveFrame,range,domain,2,dbo:portrayer,dbo:Work,dbo:Actor,"Which dbo:Actor (X) plays,played Y(dbo:Work)?","Who dbo:Actor (X) plays,played Y(dbo:Work)?",SELECT ?X WHERE { Y dbo:portrayer ?X.},Which dbo:Work(X) was played by Y(dbo:Actor)?,SELECT ?X WHERE { ?X dbo:Actor Y.}
-,verb,compose,composes,composed,TransitiveFrame,range,domain,3,dbp:composer,dbo:Work,dbo:Person,"Which dbo:Person (X) composes,composed Y(dbo:Work)?","Who dbo:Person (X) composes,composed Y(dbo:Work)?",SELECT ?X WHERE { Y dbp:composer ?X.},Which dbo:Work(X) was composed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
direct,verb,direct,directs,directed,TransitiveFrame,range,domain,1,dbo:director,dbo:Film,dbo:Person,"Which dbo:Person (X) directs,directed Y(dbo:Film)?","Who dbo:Person (X) directs,directed Y(dbo:Film)?",SELECT ?X WHERE { Y dbo:director ?X.},Which dbo:Film(X) was directed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,direct,directs,directed,TransitiveFrame,range,domain,2,dbo:director,dbo:Software,dbo:Person,"Which dbo:Person (X) directs,directed Y(dbo:Software)?","Who dbo:Person (X) directs,directed Y(dbo:Software)?",SELECT ?X WHERE { Y dbo:director ?X.},Which dbo:Software(X) was directed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
design,verb,design,designs,designed,TransitiveFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Architect,"Which dbo:Architect (X) designs,designed Y(dbo:ArchitecturalStructure)?","Who dbo:Architect (X) designs,designed Y(dbo:ArchitecturalStructure)?",SELECT ?X WHERE { Y dbo:architect ?X.},Which dbo:ArchitecturalStructure(X) was designed by Y(dbo:Architect)?,SELECT ?X WHERE { ?X dbo:Architect Y.}
-,verb,design,designs,designed,TransitiveFrame,range,domain,2,dbo:designer,dbo:Building,dbo:Person,"Which dbo:Person (X) designs,designed Y(dbo:Building)?","Who dbo:Person (X) designs,designed Y(dbo:Building)?",SELECT ?X WHERE { Y dbo:designer ?X.},Which dbo:Building(X) was designed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
-,verb,design,designs,designed,TransitiveFrame,range,domain,3,dbo:designer,dbo:Software,dbo:Person,"Which dbo:Person (X) designs,designed Y(dbo:Software)?","Who dbo:Person (X) designs,designed Y(dbo:Software)?",SELECT ?X WHERE { Y dbo:designer ?X.},Which dbo:Software(X) was designed by Y(dbo:Person)?,SELECT ?X WHERE { ?X dbo:Person Y.}
